Order ID,Order Date,Ship Date,Item Type,Sales Channel,Region,Country,Units Sold,Unit Price,Unit Cost
433514773,2010-01-01,2010-01-08,Baby Food,Online,Asia,Thailand,5510,255.28,159.42
583114659,2010-01-01,2010-02-03,Vegetables,Online,Asia,Malaysia,5441,154.06,90.93
562294280,2010-01-01,2010-01-16,Beverages,Offline,Central America and the Caribbean,Dominica,4228,47.45,31.79
780613219,2010-01-01,2010-02-12,Snacks,Offline,Sub-Saharan Africa,Mozambique,9653,152.58,97.44
402225196,2010-01-01,2010-01-19,Household,Online,Asia,Bhutan,6229,668.27,502.54
431350123,2010-01-01,2010-01-09,Baby Food,Online,Europe,Finland,4942,255.28,159.42
720434749,2010-01-01,2010-01-13,Beverages,Offline,Sub-Saharan Africa,Togo,1507,47.45,31.79
753652942,2010-01-01,2010-01-02,Meat,Offline,Europe,Albania,1508,421.89,364.69
832605159,2010-01-01,2010-01-26,Cosmetics,Online,Sub-Saharan Africa,Botswana,5224,437.2,263.33
493811261,2010-01-01,2010-01-13,Cosmetics,Offline,Sub-Saharan Africa,Mauritania,8581,437.2,263.33
279585587,2010-01-01,2010-02-04,Personal Care,Offline,Central America and the Caribbean,Haiti,4443,81.73,56.67
383687484,2010-01-01,2010-01-25,Household,Offline,Asia,Kyrgyzstan,508,668.27,502.54
944775569,2010-01-01,2010-02-08,Vegetables,Online,Europe,Montenegro,8941,154.06,90.93
346139991,2010-01-01,2010-02-07,Cereal,Offline,Asia,Tajikistan,9370,205.7,117.11
175719726,2010-01-01,2010-02-14,Vegetables,Online,Sub-Saharan Africa,Burundi,8227,154.06,90.93
924073207,2010-01-01,2010-02-15,Vegetables,Offline,Sub-Saharan Africa,Republic of the Congo,2652,154.06,90.93
462639701,2010-01-01,2010-02-19,Fruits,Offline,Europe,Poland,4223,9.33,6.92
254789960,2010-01-01,2010-02-13,Vegetables,Online,Sub-Saharan Africa,Nigeria,6866,154.06,90.93
256836593,2010-01-01,2010-01-17,Beverages,Online,Sub-Saharan Africa,Seychelles ,2510,47.45,31.79
753534924,2010-01-01,2010-01-27,Cosmetics,Online,Europe,Switzerland,6584,437.2,263.33
472990882,2010-01-01,2010-02-15,Snacks,Online,Europe,Cyprus,7368,152.58,97.44
757746207,2010-01-01,2010-02-20,Clothes,Online,Europe,Croatia,2796,109.28,35.84
202680003,2010-01-01,2010-02-05,Personal Care,Offline,Middle East and North Africa,Saudi Arabia,6372,81.73,56.67
737043845,2010-01-01,2010-01-07,Clothes,Online,Central America and the Caribbean,Dominica,6507,109.28,35.84
955244767,2010-01-01,2010-01-10,Fruits,Offline,Asia,Laos,7009,9.33,6.92
830440509,2010-01-01,2010-01-26,Cosmetics,Online,Sub-Saharan Africa,Swaziland,4656,437.2,263.33
959338033,2010-01-01,2010-01-08,Meat,Offline,Asia,Sri Lanka,8297,421.89,364.69
171626460,2010-01-01,2010-02-15,Baby Food,Offline,Central America and the Caribbean,Saint Kitts and Nevis ,6938,255.28,159.42
244438779,2010-01-01,2010-02-16,Clothes,Offline,Australia and Oceania,Samoa ,3721,109.28,35.84
705754268,2010-01-01,2010-01-18,Office Supplies,Offline,Europe,Russia,7226,651.21,524.96
414859044,2010-01-01,2010-02-09,Personal Care,Offline,Europe,Macedonia,4865,81.73,56.67
487435328,2010-01-01,2010-02-10,Personal Care,Offline,Middle East and North Africa,Qatar,1800,81.73,56.67
317133080,2010-01-01,2010-01-22,Cosmetics,Offline,North America,United States of America,5581,437.2,263.33
660020244,2010-01-01,2010-02-02,Vegetables,Online,Europe,Norway,3512,154.06,90.93
944893586,2010-01-01,2010-01-13,Household,Online,Middle East and North Africa,Lebanon,3865,668.27,502.54
861494052,2010-01-02,2010-01-17,Household,Online,Europe,Serbia,4089,668.27,502.54
551707065,2010-01-02,2010-01-20,Household,Offline,Middle East and North Africa,Kuwait,1235,668.27,502.54
277420938,2010-01-02,2010-02-06,Personal Care,Online,Sub-Saharan Africa,Namibia,3875,81.73,56.67
944657552,2010-01-02,2010-01-14,Baby Food,Offline,Sub-Saharan Africa,Burundi,4017,255.28,159.42
356373155,2010-01-02,2010-01-10,Fruits,Online,Middle East and North Africa,Pakistan,7591,9.33,6.92
682769238,2010-01-02,2010-02-21,Baby Food,Online,Middle East and North Africa,Kuwait,5445,255.28,159.42
582996642,2010-01-02,2010-01-09,Baby Food,Online,Europe,Bulgaria,517,255.28,159.42
501879775,2010-01-02,2010-02-06,Vegetables,Online,Asia,Turkmenistan,6233,154.06,90.93
296194684,2010-01-02,2010-01-30,Office Supplies,Online,Europe,Belgium,9444,651.21,524.96
992438209,2010-01-02,2010-01-23,Household,Offline,Sub-Saharan Africa,Democratic Republic of the Congo,3375,668.27,502.54
892547595,2010-01-02,2010-01-06,Fruits,Online,Asia,Malaysia,3523,9.33,6.92
699378335,2010-01-02,2010-02-15,Snacks,Offline,Sub-Saharan Africa,Swaziland,446,152.58,97.44
427138841,2010-01-02,2010-02-06,Vegetables,Online,North America,Greenland,8730,154.06,90.93
865587317,2010-01-02,2010-01-15,Beverages,Online,Europe,United Kingdom,5377,47.45,31.79
703471601,2010-01-02,2010-02-14,Cereal,Offline,Australia and Oceania,East Timor,1734,205.7,117.11
156945979,2010-01-02,2010-02-21,Meat,Offline,Middle East and North Africa,Morocco,2658,421.89,364.69
535215985,2010-01-02,2010-02-20,Fruits,Online,Europe,Albania,1159,9.33,6.92
730431878,2010-01-02,2010-02-05,Vegetables,Offline,Europe,San Marino,9879,154.06,90.93
269116389,2010-01-02,2010-01-14,Clothes,Offline,Australia and Oceania,Tonga,6375,109.28,35.84
